NO.,Client Name ,Address,Contact,Email address,Location,Grant number,Registration Date,Expire date,Renewal fee,  Application fees  , Renewal Fees 2021-2022 , Renewal Fees 2022- 2023 , Renewal Fees 2023-2024 ,Status,
1,M.H Drillers,"Box 5620, Limbe",888843222,mhdrillers2010@gmail.com,Blantyre,"BDP 1/2021,CP 1/2021",19/3/2021,18/3/2022,Renewed,980000,,,580000,Active,
2,Divine planet Investment ,"Box 41, Lilongwe",0999328438/0999267054,debbie.mphande@gmail.com,Lilongwe,"BDP 52/2021,CP 52/2021",6/12/2021,5/12/2022,Not yet for renewal,980000,,,0,expired,
3,Thanthwe PVT Company,P/Bag 90,999468029,maseseray@gmail.com,Salima,"BDP 37/2021,CP 37/2021",30/06/2021,29/06/2022,Renewed,490000,,,400000,Active,
4,Alimahomed Hassam Trust," P/Bag 5, Mangochi",888233144,mushtaaqwaterdrilling@yahoo.com,Mangochi,"BDP 35/2021,CP 35/2021",30.06.2021,29.06.2022,Renewd,980000,,490000,580000,Active,
5,Vodar Water Technologies ,"Box 882, Zomba",099721777/01212721888,vodar@globemw.net,Zomba,"BDP 43/2021,CP 43/2021",30/6/2021,29/6/2022,Need for renewal,980000,,,0,Active,
6,Ananjobvu Construction,"Box 1074, Lilongwe",998333555,harvestengineeringmw@gmail.com,Lilongwe,CP  28/2021,30/6/2021,29/6/2022,Not yet renewed,490000,N/A,0,0,expired,
7,Tropical Drilling Company ,"Box 30891, Lilongwe",0888831140/265310001381,tropicaldrillingco@gmail.com     enockzimba@gmail.com,Lilongwe,"BDP 9/2021,CP 9/2021",19/3/2021,18/3/2022,Renewed,980000,,,420000,Active,
8,Hydro Water Engineering ,"Box 1546, Lilongwe",880086989,vijay@hydroengineering.co,Lilongwe,"BDP 8/2021,CP 8/2021",3/19/2021,3/18/2022,Renewed,490000,,,580000,Active,
9,Everfresh Investments,"Box 738, Lilongwe",0999031156/0884100731,everfreshie@gmail.com,LIlongwe,"BDP 47/2021,CP 47/2021",30/09/2021,29/09/2022,Need for renewal,490000,,,0,expired,
10,GIMM Water Experts Drilling ,"Box 30374, Lilongwe",  ,ghilchikweza@yahoo.com,Lilongwe,"BDP 3/2021,CP 3/2021",19/3/2021,18/3/2022,Renewed,980000,N/A,500000,0,Active,
11,China Gansu Engineering Corporation ,"Box 134, Lilongwe",XX,gansumw@yahoo.com,Lilongwe,"BDP 2/2021,CP 2/2021",19/3/2021,18/3/2022,Renewed,980000,N/A,420000,580000,Active,
12,Blue Water Drilling ,"Box 5287, Limbe",XX,bwdrilling@gmail.com,Blantyre,"BDP 7/2021,CP 7/2021",19/3/2021,18/3/2022,Need for renewal,980000,N/A,210000,580000,Active,
13,LoveWater Drilling Company ,"Box 31466, Lilongwe 3",0999546000/0993601847,bk.lovewaterdrilling@gmail.com,Lilongwe,"BDP 6/2021,CP 6/2021",19/3/2021,18/3/2022,Renewed,980000,N/A,400000,580000,Active,
14,WaterTEC Drilling Contractor  ,"Box 2311, Lilongwe",0999533555/0888841403,rem0707@gmail.com,Lilongwe,"BDP 5/2021,CP 5/2021",19/3/2021,18/3/2022,Need to renewal,890000,N/A,0,0,Active,
15,FISD LTD Company ,"Box 31245, Lilongwe 3",01713952/0999361757,fisd@fisdltd.com,Lilongwe,"BDP 4/2021,CP 4/2021",19/03/2021,18/03/2022,Renewed,980000,N/A,420000,,Active,
16,Sanga Construction,"Box 137, Lilongwe",999100480,jkapanda@sangaconstructionmw.com,Lilongwe,"BDP 13/2021,CP 13/2021",19/3/2021,18/3/2022,Need for renewal,980000,N/A,0,0,expired,
