COUNT,FILE,Licence holder,,,,,,LOCATION,,COORDINATES,,DISTRCIT,GRANT NUMBER,,,,,,,,Expected Annual rental ,Expected renewal fee,YEARS IN ARREAR,,,,,,,,,
,,,Physical Adress / Plot Number,CONTACT PERSON,PHONE CONTACTS,EMAIL ADDRESS,MAILING ADDRESS,,TA,X,Y,,,Duration (YRS),Expiry Date,Registration Date/Renewal,Name of Granter,Volume (M3/Day,Source,Use ,,,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Surface Water,NWRA /802,Carolina Holiday Resort,Senga-Bay/ ,Manager,,,P.O Box 252,Senga-Bay ,,673674,8479146,Lilongwe,S.51/2009,5,4/11/2014,4/12/2009,NWRA,5.5,Lake malawi,Domestic ,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/803,Four Seasons Nursery,Plot13/76 Presidential way,N/A,0.999597861,info@fourseasonsmw.com,"P.O. Box 1389, Lilongwe","Area 13, Bwaila 13/76",,578749,8454310,Lilongwe,S.54/2009,5,22/11/2014,23/11/2009,NWRA,180,Tributory of Lilongwe R,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/804,Chatata Lee,"Gunde Village, Malingunde",Mr Lee Chitata,N/A,N/A,P.O Box 40044,Kanengo,,707,336,Lilongwe,SL 55/2009,5,8/2/2014,7/3/2009,NWRA,5,Kamuzu Dam,Domestic,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/805,Kasakula Mwansambo WUA,Mwansambo Village,N/A,N/A,N/A,"P.O.Box 14,Mwansambo",Mwansambo Village,,613018,8522454,Ntchisi,S.56/2009,5,22/11/2014,23/11/2009,NWRA,3512,Kanyerere Stream,Domestic,"40,186.94","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/806,Tigwirizane Irrigation Scheme,Katola Village,N/A,N/A,N/A,"P/A Chinthembwe, Ntchisi",Katola Village,,54,219,Ntchisi,SL57/2009,5,8/2/2014,7/3/2009,NWRA,86.4,Chifundo Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/807,Mtuwambalame Irrigation Scheme,Nyemba Village,N/A,N/A,N/A,P.O Box 73,Nathenje,,908,443,Lilongwe,SL 58/2009,5,8/2/2014,7/3/2009,NWRA,3.6,Nanjiri River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/808,Donda Irrigation Scheme,Mpenu EPA,N/A,N/A,N/A,"P.O Box 19, Nkuza,",Mpenu EPA,,89,465,Lilongwe,S.59/2009,5,,23/11/2009,NWRA,7.2,Dam(Mpenu),Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/809,Kalizinje Irrigation Scheme,,N/A,N/A,N/A,"C/O Zomba RDP, P.O Box 287, Zomba",Kalizenje,,726097,8308709,Zomba,S.60/2009,5,22/11/2014,23/11/2009,NWRA,5063,Shire River,Irrigation,"58,951.04","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/810,Chathina Irrigation Scheme,,N/A,N/A,N/A,"C/O Zomba RDP, P.O Box 287, Zomba",Chathina Village,,728404,8311842,Zomba,S.61/2009,5,22/11/2014,23/11/2009,NWRA,3620,Shire River,Irrigation,"42,149.47","200,000.00",No,No,No,No,No,No,No,No,No,No
