,FILE,Licence holder,,,,,,LOCATION,COORDINATES,,DISTRCIT,GRANT NUMBER,,,,,,,,, Expected Annual rental  , Expected renewal fee ,YEARS IN ARREAR,,,,,,,,,
Category,,,Physical Adress / Plot Number,CONTACT PERSON,PHONE CONTACTS,EMAIL ADDRESS,MAILING ADDRESS,,X,Y,,,Duration (YRS),Expiry Date,Registration Date/Renewal,GPS Coordinates/Grid,Name of Granter, Volume (M3/Day ,Source,Use ,,,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Surface Water,NWRA/1,Blantyre Water Board,"Chichiri, Blantyre",,,bwb@bwb.mw,Box 30369,Chichiri Blantyre,699536,8287916,Blantyre,SL29/2021,N/A,N/A,N/A,N/A,NWRA," 229,000.00 ",Shire River,Public," 1,838,870.00 ",,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Surface Water,NWRA/1,Blantyre Water Board,"Chichiri, Blantyre",,,bwb@bwb.mw,Box 30369,Chichiri Blantyre,N/A,N/A,Blantyre,SL259/1971,N/A,N/A,N/A,,NWRA," 45,000.00 ",Mudi River,Public," 406,518.75 ",,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Surface Water,NWRA/1,Blantyre Water Board,"Chichiri, Blantyre",,,bwb@bwb.mw,Box 30369,Chichiri Blantyre,N/A,N/A,Blantyre,SL119/1990,N/A,N/A,N/A,,NWRA," 100,000.00 ",Shire River,Public," 903,375.00 ",,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Surface Water,NWRA/1,Blantyre Water Board,"Chichiri, Blantyre",,,bwb@bwb.mw,Box 30369,Chichiri Blantyre,N/A,N/A,Blantyre,SL1/2017,N/A,N/A,N/A,,NWRA," 20,000.00 ",Shire River,Public," 180,675.00 ",,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Surface Water,NWRA/3,Synod of Livingstonia C.C.A.P,Mzuzu,N/A,N/A,N/A,"P/B 112, Mzuzu",Robert Laws Sec School,N/A,N/A,Mzimba,SL1/1986,5,N/A,N/A,,NWRA," 80,   60,   260,   1.8 ",Mantchewe Stream,"Domestic, Public, Irrigation, Power"," 40,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/4A,Imperial Group Limited,"Limbe, Blantyre",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/5,Zoe Tea Estate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/6,Constantine & Co.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/7,MISSING FILES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/9,Sewage Desposal Northern Region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/10,Lever Brothers Limited,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A,,,,,,,,,,,,
Surface Water,NWRA/11,Nchima Tea Estate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A,,,,,,,,,,,,
Surface Water,NWRA/13,SENCREST CREAMERIES LTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/13A,"COLONY CLUB CASINO, BLANTYRE",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Kasembereka Estate,N/A,N/A,Mulanje,SL524/1974,5,18/3/2026,N/A,2348156,NWRA," 1,591.00 ",Sambankhanga river,Irrigation," 16,608.45 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Kumadzi Estate,N/A,N/A,Mulanje,SL358/1973,5,18/3/2026,N/A,477182,NWRA, 84.40 ,Khonjeni River,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Makwasa Estate,N/A,N/A,Mulanje,SL87/1976,5,18/3/2026,N/A,265095,NWRA, 29.60 ,Matawale River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
